AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
Concurrent Education: Liberal Arts & Professional Studies (BEd) ,Architecture,York University,High 70s to mid-80s,Class-based experiential education,In this concurrent program graduates receive a Bachelor of Education as well as a Bachelor's degree in their chosen subject of major interest. Students must apply by selecting both the York Faculty that they are applying to and the BEd program. Full program details and instructions on how to apply are available on the Faculty of Education website. Submit your application for admission to the OUAC by January 15 2024. If you are interested in pursuing a French BEd with Glendon please see OUAC code YGJ. If you are interested in pursing an English BEd with Glendon please see OUAC code YYI.
Undeclared Major (BA/BES) ,Architecture,York University,Mid- to high 70s,Class-based experiential education,BA Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses BES Ontario Secondary School Diploma (OSSD) ENG4U (francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Biology (BSc 3 year),Biological Sciences,Algoma University,70%,Co-op or internship application available at the university after registration,ENG4U MHF4U Two 4U/M sciences (Biology and Chemistry recommended) Two other 4U/M courses 70% combined average in top six 4U/M courses
Biology (BSc 4 year),Biological Sciences,Algoma University,70%,Co-op option available with this program,ENG4U MHF4U Two 4U/M science courses (Chemistry and Biology are recommended) Two other 4U/M courses 70% combined average in top six 4U/M courses
Psychology (BA 3 year),Biological Sciences,Algoma University,70%,Co-op or internship application available at the university after registration,ENG4U 5 other 4U/M courses 70% combined average in top six 4U/M courses
Psychology (BA 4 year),Biological Sciences,Algoma University,70%,Co-op or internship application available at the university after registration,ENG4U 5 other 4U/M courses 70% combined average in top six 4U/M courses
Psychology (Brampton) (BA 4 year Non-Honours),Biological Sciences,Algoma University,70%,Co-op or internship application available at the university after registration,ENG4U 5 other 4U/M courses 70% combined average in top six 4U/M courses
Psychology (BSc 4 year),Biological Sciences,Algoma University,70%,Co-op or internship application available at the university after registration,ENG4U One 4U/M Math (MHF4U MCY4U or MDM4U) Two 4U/M sciences (Physics and Chemistry are recommended) Two other 4U/M courses 70% combined average in top six 4U/M courses
Biochemistry ,Biological Sciences,Brock University,Mid-70s,Co-op program,MHF4U (min. 70%) or MCV4U (min. 70%) SCH4U (min. 70%) 2 from SBI4U SPH4U SES4U a second 4U Math or ENG4U ENG4U is strongly recommended
Biological Sciences ,Biological Sciences,Brock University,Mid-70s,Not Available,MHF4U (min 70%) or MCV4U (min. 70%) SCH4U (min. 70%) 2 from SBI4U SPH4U SES4U a second 4U Math or ENG4U ENG4U is strongly recommended
Biomedical Sciences ,Biological Sciences,Brock University,Mid 70s,Not Available,MHF4U (min 70%) or MCV4U (min. 70%) SCH4U (min. 70%) 2 from SBI4U SPH4U SES4U a second 4U Math or ENG4U ENG4U is strongly recommended
Biophysics ,Biological Sciences,Brock University,Mid-70s,Not Available,MHF4U (min. 70%) or MCV4U (min. 70%) SCH4U (min. 70%) 2 from SBI4U SPH4U SES4U a second 4U Math or ENG4U ENG4U is strongly recommended
Concurrent BPhEd Honours/BEd  -  Intermediate/Senior ,Biological Sciences,Brock University,High 80s,Practicum or internship option available,ENG4U SBI4U One 4U Math Strongly recommended subject: PSE4U or PSK4U
Concurrent BPhEd Honours/BEd - Junior/Intermediate ,Biological Sciences,Brock University,High 80s,Practicum or internship option available,ENG4U SBI4U One 4U Math Strongly recommended subject: PSE4U or PSK4U
Kinesiology (BKin) ,Biological Sciences,Brock University,Mid-70s,Practicum or internship option available,ENG4U SBI4U One 4U Math (MHF4U preferred) Strongly recommended subjects: PSE4U or PSK4U MHF4U
Kinesiology (BKin) and Master of Professional Kinesiology ,Biological Sciences,Brock University,High 80s,Practicum or internship option available,ENG4U SBI4U One 4U Math (MHF4U preferred) Strongly recommended subjects: PSE4U or PSK4U MHF4U
Kinesiology (BScKin) ,Biological Sciences,Brock University,Mid-70s,Practicum or internship option available,ENG4U MHF4U (min. 70%) or MCV4U (min. 70%) SBI4U Strongly recommended subjects: SPH4U or one of PSE4U or PSK4U SCH4U
Oenology and Viticulture ,Biological Sciences,Brock University,Mid-70s,Co-op program,MHF4U (min. 70%) or MCV4U (min. 70%) SCH4U (min. 70%) 2 from SBI4U SPH4U SES4U a second 4U Math or ENG4U Strongly recommended subject: ENG4U
Physical Education ,Biological Sciences,Brock University,Mid-70s,Practicum or internship option available,ENG4U SBI4U One 4U Math Strongly recommended subject: PSE4U or PSK4U
Psychology (BA) ,Biological Sciences,Brock University,Mid-70s; co-op low 80s,Co-op option available with this program,ENG4U Strongly recommended subject: one 4U Math (MDM4U preferred)
Psychology (BSc) ,Biological Sciences,Brock University,Mid-70s; co-op low 80s,Co-op option available with this program,ENG4U MHF4U or MCV4U 2 from the following: SBI4U SCH4U or SPH4U
BA  -  Honours (4 years) (co-op available with some concentrations),Biological Sciences,Carleton University,75-77%,Co-op available by major,PROGRAMS: African Studies Anthropology Applied Linguistics and Discourse Studies Art History Biology* Canadian Studies Childhood and Youth Studies Criminology and Criminal Justice English Environmental Studies European and Russian Studies Film Studies French Geography Geomatics Greek and Roman Studies History History and Theory of Architecture Human Rights and Social Justice Indigenous Studies Law Linguistics Music Philosophy Political Science Psychology Religion Sociology and Women’s and Gender Studies. English (ENG4U) 5 best 4U/M courses *BA Biology: English (ENG4U) and Chemistry (SCH4U) plus 4 best 4U/M courses. Advanced Functions (MHF4U) and Calculus (MCV4U) recommended.
BA  -  Non-Honours (3 years),Biological Sciences,Carleton University,75 - 77%,Not Available,PROGRAMS: African Studies Anthropology Applied Linguistics and Discourse Studies Art History Biology* Canadian Studies Childhood and Youth Studies Criminology and Criminal Justice English Environmental Studies European and Russian Studies Film Studies French Geography Geomatics Greek and Roman Studies History History and Theory of Architecture Human Rights and Social Justice Indigenous Studies Law Linguistics Music Philosophy Political Science Psychology Religion Sociology and Women’s and Gender Studies. English (ENG4U) 5 best 4U/M courses *BA Biology: English (ENG4U) and Chemistry (SCH4U) plus 4 best 4U/M courses. Advanced Functions (MHF4U) and Calculus (MCV4U) recommended.
Cognitive Science  -  Honours (regular and co-op) ,Biological Sciences,Carleton University,75-77%,Co-op option available with this program,ENG4U 5 best 4U/M courses
Cognitive Science  -  Non-Honours ,Biological Sciences,Carleton University,73 - 76%,Not Available,ENG4U 5 best 4U/M courses
Humanities and Biology  -  Option B ,Biological Sciences,Carleton University,80 - 84%,Not Available,Biology (SBI4U) or Chemistry (SCH4U) 5 best 4U/M courses
Science  -  Honours (4 years) (regular and co-op),Biological Sciences,Carleton University,78 - 82%,Co-op available by major,Honours in Biochemistry Bioinformatics Biology Biotechnology Chemistry Computational Biochemistry Food Science Interdisciplinary Science and Practice Linguistics Nanoscience Neuroscience Neuroscience and Mental Health and Psychology: Advanced Functions (MHF4U) Two credits from Biology (SBI4U) Chemistry (SCH4U) Earth and Space Science (SES4U) or Physics (SPH4U) 3 best 4U/M courses Calculus (MCV4U) strongly recommended Honours in Earth Sciences Environmental Science Geomatics and Physical Geography: Advanced Functions (MHF4U) or Calculus (MCV4U) Two credits from Biology (SBI4U) Chemistry (SCH4U) Earth and Space Science (SES4U) or Physics (SPH4U) 3 best 4U/M courses Honours in Physics Applied Physics and Mathematics and Physics: Advanced Functions (MHF4U) and Calculus (MCV4U) One credit from Biology (SBI4U) Chemistry (SCH4U) Earth and Space Science (SES4U or Physics (SPH4U) 3 best 4U/M courses
Science  -  Major (4 years),Biological Sciences,Carleton University,74 - 76%,Not Available,MHF4U 2 of MCV4U SBI4U SCH4U SES4U or SPH4U 3 best 4U/M courses For all programs in Physics SPH4U is strongly recommended.
Science  -  Non-Honours (3 years),Biological Sciences,Carleton University,74 - 76%,Not Available,MHF4U 2 of MCV4U SBI4U SCH4U SES4U or SPH4U 3 best 4U/M courses
Animal Biology ,Biological Sciences,University of Guelph,85-91%,Faculty research opportunity,ENG4U MHF4U 2 from SBI4U SCH4U SPH4U 2 additional 4U/M courses Biology Chemistry and Physics are strongly recommended. If you lack 1 of these you must take a replacement course in semester 1.
Arts and Sciences ,Biological Sciences,University of Guelph,78 to 83%,Embedded community engagement/volunteerism/partnership,ENG4U MHF4U One 4U/M Arts or Social Sciences Two from SBI4U SCH4U SPH4U One additional 4U/M course Arts and Social Science courses include Languages and Literatures Performing Arts Social Studies Geography and History.
Arts General ,Biological Sciences,University of Guelph,75 to 80%,Class-based experiential education,ENG4U 5 additional 4U/M courses Prerequisites for Economics and Mathematical Economics include: ENG4U MHF4U 4 additional U/M courses
Arts Honours ,Biological Sciences,University of Guelph,75 - 80% for all majors except Creative Writing (80 - 85%),Co-op available by major,ENG4U 5 additional U/M courses Prerequisites for Economics and Mathematical Economics include: ENG4U MHF4U 4 additional U/M courses
Arts Honours Psychology (Co-op option available) ,Biological Sciences,University of Guelph,80 to 86%,Co-op option available with this program,ENG4U 5 additional U/M courses
Bachelor of One Health ,Biological Sciences,University of Guelph,83 to 88 %,Co-op option available with this program,English (ENG4U) Advanced Functions (MHF4U) 2 of Biology (SBI4U) Chemistry (SCH4U) Physics (SPH4U) 1 4U/M Arts or Social Studies course 1 additional 4U/M course
Bachelor of Science General (3 years),Biological Sciences,University of Guelph,78 to 84%,Not Available,Biological Sciences: ENG4U MHF4U 2 from SBI4U SCH4U SPH4U 2 additional 4U/M courses Physical Sciences: ENG4U MCV4U 2 from SBI4U SCH4U SPH4U 2 additional 4U/M courses
Bachelor of Science Honours (4 years),Biological Sciences,University of Guelph,78-84% for all majors except Biological Science (81-86%) and Animal Biology Bio-Medical Science and Neuroscience (85-90%),Co-op available by major,Biological Sciences: ENG4U MHF4U 2 from SBI4U SCH4U SPH4U 2 additional 4U/M courses SCH4U SPH4U and SBI4U are strongly recommended for all biological sciences. If you lack 1 of these courses you must take a replacement course in semester 1. Physical Sciences: ENG4U MCV4U 2 from SBI4U SCH4U SPH4U* 2 additional 4U/M courses SCH4U and SPH4U are strongly recommended for physical sciences. If you lack 1 of these courses you must take a replacement course in semester 1.
Bachelor of Science in Environmental Sciences ,Biological Sciences,University of Guelph,75 to 80%,Co-op option available with this program,ENG4U MHF4U 2 from SBI4U SCH4U SPH4U 2 additional 4U/M courses SBI4U and SCH4U are strongly recommended* If you lack 1 of these courses you must take the replacement course in semester 1.
Biological Engineering (co-op and regular) ,Biological Sciences,University of Guelph,84 to 89%,Co-op option available with this program,ENG4U MCV4U MHF4U SCH4U SPH4U 1 additional 4U/M course
Biomedical Engineering (Co-op & Regular) ,Biological Sciences,University of Guelph,84 to 89%,Co-op option available with this program,ENG4U MCV4U MHF4U SCH4U SPH4U 1 additional 4U/M course
Bio-Medical Science ,Biological Sciences,University of Guelph,85 to 91%,Faculty research opportunity,ENG4U MHF4U 2 from SBI4U SCH4U SPH4U 2 additional 4U/M courses Biology Chemistry and Physics are strongly recommended. If you lack 1 of these you must take a replacement course in semester 1.
Environmental Management ,Biological Sciences,University of Guelph,75 to 80%,Co-op or internship option available,ENG4U SBI4U 4 additional 4U/M courses 4U Chemistry and 4U Math recommended
Human Kinetics ,Biological Sciences,University of Guelph,78 to 84%,Faculty research opportunity,ENG4U MHF4U 2 from SBI4U SCH4U SPH4U 2 additional 4U/M courses Biology Chemistry and Physics are strongly recommended. If you lack one of these courses you must take a replacement course in semester 1.
Honours Bachelor of Applied Science in Community Social Services and Social Service Worker Diploma ,Biological Sciences,University of Guelph-Humber,Estimated cut-off admission range is 75 - 80%. Minimum 70% admission average to be considered.,Field placement,ENG4U (or equivalent) 5 additional 4U/M courses
Honours Bachelor of Applied Science in Kinesiology and Diploma in Fitness and Health Promotion ,Biological Sciences,University of Guelph-Humber,Estimated cut-off admission range is 75 - 80%. Minimum 70% admission average to be considered.,Field placement,ENG4U (or equivalent) One 4U Math Any 2 from SBI4U SCH4U SPH4U or PSK4U 2 additional 4U/M courses
Honours Bachelor of Applied Science in Psychology and Diploma in General Arts and Science ,Biological Sciences,University of Guelph-Humber,Estimated cut-off admission range is 75 - 80%. Minimum 70% admission average to be considered.,Field placement,ENG4U (or equivalent) 5 additional 4U/M courses
Anthropology (Thunder Bay and Orillia) ,Biological Sciences,Lakehead University,70%,Not Available,Anthropology (Arts): ENG4U Anthropology (Arts & Sciences): ENG4U Anthropology (Science): ENG4U MHF4U 2 of MCV4U MDM4U SBI4U SCH4U SES4U SPH4U
Applied Life Sciences (Thunder Bay Orillia and Lakehead/Georgian) ,Biological Sciences,Lakehead University,70% or 75%,Not Available,Applied Life Sciences with Biotechnology Diploma (Lakehead/Georgian): ENG4U MHF4U SBI4U SCH4U. Requires a minimum 75% overall final average All other majors: ENG4U MHF4U 2 of MCV4U MDM4U SBI4U SCH4U SES4U SPH4U
Bioinformatics (Thunder Bay) ,Biological Sciences,Lakehead University,70%,Not Available,ENG4U MHF4U SBI4U SCH4U
Biology (includes Environmental Science Animal Sciences Plant Sciences Biodiversity and Conservation and Neuroscience) (Thunder Bay) ,Biological Sciences,Lakehead University,70%,Not Available,Biology (Environmental Science): ENG4U MHF4U Biology & Chemistry: ENG4U MHF4U SCH4U 1 of MCV4U MDM4U SBI4U SPH4U All other Biology (Science) Majors: ENG4U MHF4U 2 of MCV4U MDM4U SBI4U SCH4U SES4U SPH4U
Chemistry (includes Medical Sciences) (Thunder Bay) ,Biological Sciences,Lakehead University,`,Not Available,ENG4U MHF4U SCH4U 1 of MCV4U MDM4U SBI4U SPH4U
Criminology (Orillia) ,Biological Sciences,Lakehead University,70%,Not Available,ENG4U
General (Arts or Science) (Thunder Bay Orillia & Online) ,Biological Sciences,Lakehead University,70%,Not Available,General Arts: ENG4U General Science: ENG4U 2 of MCV4U MDM4U MHF4U SBI4U SCH4U SES4U SPH4U
Kinesiology (co-op available) (Thunder Bay) ,Biological Sciences,Lakehead University,70%,Co-op option available with this program,ENG4U 1 of MCV4U MDM4U MHF4U 2 of PSK4U SBI4U SCH4U SPH4U
Natural Science (3-Year) (Thunder Bay),Biological Sciences,Lakehead University,70%,Not Available,ENG4U 2 of MCV4U MDM4U MHF4U SBI4U SCH4U SES4U SPH4U
Outdoor Recreation Parks & Tourism (Thunder Bay) ,Biological Sciences,Lakehead University,70%,Not Available,ENG4U Outdoor Recreation & Natural Science: ENG4U 2 of MCV4U MDM4U MHF4U SBI4U SCH4U SES4U SPH4U
Physics (Thunder Bay) ,Biological Sciences,Lakehead University,70%,Co-op option available with this program,ENG4U MHF4U 2 of MCV4U MDM4U SBI4U SCH4U SES4U SPH4U
Psychology (Thunder Bay and Orillia) ,Biological Sciences,Lakehead University,70%,Not Available,Psychology (Arts) (Thunder Bay and Orillia): ENG4U Psychology (Science) (Thunder Bay): ENG4U MHF4U 2 of MCV4U MDM4U SBI4U SCH4U SPH4U
Science One (Thunder Bay and Orillia Campuses) ,Biological Sciences,Lakehead University,70%,Not Available,ENG4U MHF4U 1 of ICS4U MCV4U MDM4U SBI4U SCH4U SES4U SPH4U
Water Resource Science (Thunder Bay) ,Biological Sciences,Lakehead University,70%,Not Available,ENG4U 3 of MCV4U MDM4U MHF4U SBI4U SCH4U SES4U SPH4U
Behavioural Neuroscience ,Biological Sciences,Laurentian University,70%,Faculty research opportunity,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 2 grade 12 U Science courses or 1 Science + 1 Math 2 other grade 12 U/M courses A minimum overall average of 70% in the 6 best grade 12 U/M courses Examples of other eligible Science courses include: SBI 4U SCH 4U SES 4U or SPH 4U. Examples of other eligible Math courses include: MCV 4U or MDM 4U.
Biochemistry ,Biological Sciences,Laurentian University,70%,Co-op or internship application available at the university after registration,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 2 grade 12 U Science courses or 1 Science + 1 Math 2 other grade 12 U/M courses (Chemistry recommended) A minimum overall average of 70% in the 6 best grade 12 U/M courses Examples of other eligible Science courses include: SBI 4U SCH 4U SES 4U or SPH 4U. Examples of other eligible Math courses include: MCV 4U or MDM 4U.
Biomedical Biology ,Biological Sciences,Laurentian University,70%,Class-based experiential education,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 2 grade 12 U Science courses or 1 Science + 1 Math (Chemistry recommended) 2 other grade 12 U/M courses A minimum overall average of 70% in the 6 best grade 12 U/M courses Examples of other eligible Science courses include: SBI 4U SCH 4U SES 4U or SPH 4U. Examples of other eligible Math courses include: MCV 4U or MDM 4U.
Concurrent Education with Arts  -  Junior/Intermediate ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 5 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Concurrent Education with Health Promotion  -  Junior/Intermediate ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Chemistry (SCH 4U) 1 grade 12 U Biology (SBI 4U) or Exercise Science (PSK 4U) 3 additional grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Concurrent Education with Kinesiology (BPHE)  -  Junior/Intermediate ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 U/M Biology (SBI 4U) or Exercise Science (PSK 4U) 4 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Concurrent Education with Outdoor Adventure Leadership  -  Junior/Intermediate ,Biological Sciences,Laurentian University,75%,Field placement,1 grade 12 English U/M course (ENG 4U) 1 grade 12 Biology (SBI 4U) or Exercise Science (PSK 4U) 4 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Concurrent Education with Science  -  Junior/Intermediate ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 2 grade 12 U Science courses or 1 Science + 1 Math 2 other grade 12 U/M courses (Chemistry Physics and Calculus recommended) A minimum overall average of 75% in the 6 best grade 12 U/M courses Examples of other eligible Science courses include: SBI 4U SCH 4U SES 4U or SPH 4U. Examples of other eligible Math courses include: MCV 4U or MDM 4U.
Concurrent Education with Sport Psychology  -  Junior/Intermediate ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 English (ENG 4U or EAE 4U) 5 other 4U/M courses 75% in the top 6 4U/M courses
Forensic Science and Biology ,Biological Sciences,Laurentian University,80%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 1 grade 12 4U Biology (SBI 4U) 1 grade 12 4U Chemistry (SCH 4U) 2 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Gerontology ,Biological Sciences,Laurentian University,70%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 5 other grade 12 U/M courses A minimum overall average of 70% in the 6 best grade 12 U/M courses
Health Promotion ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Chemistry (SCH 4U) 1 grade 12 U Biology (SBI 4U) or Exercise Science (PSK 4U) 3 additional grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Interdisciplinary Science ,Biological Sciences,Laurentian University,70%,Class-based experiential education,1 grade 12 English U/M course (ENG 4U) 5 other grade 12 U/M courses A minimum overall average of 70% in the 6 best grade 12 U/M courses
Kinesiology (BPHE) ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 U/M Biology (SBI 4U) or Exercise Science (PSK 4U) 4 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Kinesiology (B.Sc.) ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 1 grade 12 4U Chemistry (SCH 4U) 3 other grade 12 UM courses (Physics and Calculus are strongly recommended A minimum overall average of 75% in the 6 best grade 12 U/M courses Examples of other eligible Science courses include: SBI 4U SES 4U or SPH 4U. Examples of eligible Math courses include: MCV 4U or MDM 4U.
Outdoor Adventure Leadership ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 Biology (SBI 4U) or Exercise Science (PSK 4U) 4 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Psychology (B.A.) ,Biological Sciences,Laurentian University,70%,Not Available,1 grade 12 English U/M course (ENG 4U) 5 other grade 12 U/M courses A minimum overall average of 70% in the 6 best grade 12 U/M courses
Psychology (B.Sc.) ,Biological Sciences,Laurentian University,70%,Class-based experiential education,1 grade 12 English U/M course (ENG 4U) 1 grade 12 4U Advanced Functions (MHF 4U) 2 grade 12 U Science courses or 1 Science + 1 Math 2 other grade 12 U/M courses A minimum overall average of 70% in the 6 best grade 12 U/M courses Eligible Science courses include: SBI 4U SCH 4U SES 4U or SPH 4U. Eligible Math courses include: MCV 4U or MDM 4U.
Sport Psychology ,Biological Sciences,Laurentian University,75%,Practicum or internship option available,1 grade 12 English U/M course (ENG 4U) 5 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses
Sports Administration ,Biological Sciences,Laurentian University,75%,Not Available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 U math course 4 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses Eligible Math courses include: MHF 4U MCV 4U or MDM 4U.
Zoology ,Biological Sciences,Laurentian University,70%,Not Available,1 grade 12 English U/M course (ENG 4U) 1 grade 12 Advanced Functions (MHF 4U) 2 grade 12 U Science courses or 1 Science + 1 Math 2 other grade 12 U/M courses A minimum overall average of 70% in the 6 best grade 12 U/M courses Eligible Science courses include: SBI 4U SCH 4U SES 4U or SPH 4U. Eligible Math courses include: MCV 4U or MDM 4U.
Integrated Biomedical Engineering & Health Sciences ,Biological Sciences,McMaster University,A minimum of +90% is required for consideration. Admission is by selection.,Co-op option available with this program,ENG4U MCV4U SBI4U SCH4U SPH4U
Integrated Biomedical Engineering & Health Sciences (Co-op) ,Biological Sciences,McMaster University,A minimum of +90% is required for consideration. Admission is by selection.,Co-op option available with this program,ENG4U MCV4U SBI4U SCH4U SPH4U
Kinesiology I ,Biological Sciences,McMaster University,High 80s to low 90s,Co-op option available with this program,ENG4U MCV4U SBI4U
Life Sciences I ,Biological Sciences,McMaster University,High 80's to low 90's,Co-op available by major,ENG4U 1 of MHF4U MCV4U SBI4U 1 of MHF4U MCV4U SCH4U SPH4U Applicants without MCV4U will take an equivalent Calculus course in Level I.
