AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
Law (LL.B.) Sociology (BA): Trent/Swansea Dual Degree ,Social Sciences,Trent University,80%,Practicum or internship option available,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Mathematical Economics ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U
Media Studies & Sociology ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Philosophy  -  Legal Studies Option ,Social Sciences,Trent University,70% Minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U recommended
Philosophy and Economics ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Science (Honours Arts)  -  Co-op ,Social Sciences,Trent University,80%,Co-op program,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Studies ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Studies  -  Legal Studies Option ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MCV4U or MHF4U is recommended
Political Studies and Business ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Studies and Forensics ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Studies  -  Public Policy ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Studies - Political Theory ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Political Studies - World Politics ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Psychology  -  Legal Studies Option ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% on best six 4U/M courses required ENG4U (minimum 60%). MCV4U or MHF4U is recommended
Psychology and Economics ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Social Work (Honours) ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology and Business ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology  -  Social Justice & Equity Studies ,Social Sciences,Trent University,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology (Honours Arts)  -  Co-op ,Social Sciences,Trent University,N/A,Co-op program,1 English
Sustainable Agriculture and Food Systems (BA) ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sustainable Agriculture and Food Systems (BSc) ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Sustainable Agriculture & Food Systems - Small-Scale Farming ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% SBI4U (for B.Sc.) A 4U math is recommended
Sustainable Agriculture & Food Systems - Small-Scale Farming ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Water Sciences ,Social Sciences,Trent University,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Anthropology  -  Legal Studies Option ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Co-op or internship application available at the university after registration,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Anthropology (BA) ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Anthropology (BSc) ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Anthropology & Business Administration ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Anthropology & Media Studies ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Anthropology & Psychology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Anthropology & Sociology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Arts and Business ,Social Sciences,Trent University  -  Durham Greater Toronto Area,N/A,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U MCV4U or MCB4U recommended This program is only available as a joint-major at the Honours level.
Bachelor of Business Administration  -  Legal Studies Option ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Child and Youth Studies ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Child and Youth Studies & Psychology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Child & Youth Studies  -  Legal Studies Option ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Child & Youth Studies & Sociology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Criminology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,75% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Criminology & Socio-Legal Studies (Sociology BA) Specialization ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
English Literature & Sociology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Gender & Social Justice ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Honours Arts ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Honours Science ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math is recommended
Law (LL.B.) Business Administration (B.B.A.): Trent/Swansea Dual Degree ,Social Sciences,Trent University  -  Durham Greater Toronto Area,80% minimum,Practicum or internship option available,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% A 4U math
Law (LL.B.) English Literature (B.A.): Trent/Swansea Dual Degree ,Social Sciences,Trent University  -  Durham Greater Toronto Area,80%,Co-op or internship application available at the university after registration,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Law (LL.B.) Media Studies (B.A.): Trent/Swansea Dual Degree ,Social Sciences,Trent University  -  Durham Greater Toronto Area,80% minimum,Practicum or internship option available,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Law (LL.B.) Philosophy (B.A.): Trent/Swansea Dual Degree ,Social Sciences,Trent University  -  Durham Greater Toronto Area,80%,Practicum or internship option available,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Law (LL.B.) Sociology (B.A.): Trent/Swansea Dual Degree ,Social Sciences,Trent University  -  Durham Greater Toronto Area,80% minimum,Practicum or internship option available,Minimum 80% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Media Studies  -  Legal Studies Option ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Policing & Community Well-Being ,Social Sciences,Trent University  -  Durham Greater Toronto Area,75% minimum,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Psychology & Sociology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Science and Business ,Social Sciences,Trent University  -  Durham Greater Toronto Area,N/A,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60% MHF4U or MCV4U recommended
Social Work (Honours) ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Co-op or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology  -  Legal Studies Option ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70%,Practicum or internship option available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology and Business ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Sociology  -  Social Justice & Equity Studies ,Social Sciences,Trent University  -  Durham Greater Toronto Area,70% minimum,Not Available,Minimum 70% calculated from best six 4U/M courses Required Courses: ENG4U with a minimum of 60%
Climate and Environmental Change (Regular/Co-op) ,Social Sciences,University of Waterloo,Low 80s,Co-op option available with this program,Ontario students: six Grade 12 U and/or M courses including: English (ENG4U) (minimum final grade of 70% is required) Any Grade 12 U Mathematics (minimum final grade of 70% is required) Chemistry or Physics One other Grade 12 U course Recommended courses: Biology Earth and Space Science or World Issues
Environment and Business (Co-op Only) ,Social Sciences,University of Waterloo,Low 80s,Co-op program,Any Grade 12 U English (minimum final grade of 70% is required) 5 additional 4U/M courses Recommended: 4U Mathematics 4U Science BAT4M CIA4U (where offered)
Environment Resources and Sustainability (Regular/Co-op) ,Social Sciences,University of Waterloo,Low 80s,Co-op option available with this program,Any Grade 12 U English (minimum final grade of 70% is required) 5 additional 4U/M courses Recommended: At least one 4U/M course from Canadian and World Studies Social Sciences and Humanities or Arts At least one 4U/M course in Mathematics or Science
Geography and Environmental Management (Regular/Co-op) ,Social Sciences,University of Waterloo,Low 80s,Co-op option available with this program,Any Grade 12 U or Grade 12 U/M (min. 70% is required) 5 additional 4U/M courses Recommended: 1 or more Grade 12 U/M Geography (strongly recommended) SES4U
Geomatics (Regular/Co-op) ,Social Sciences,University of Waterloo,Low 80s,Co-op option available with this program,A final grade of at least 70% is required for: Any Grade 12 U English Any Grade 12 U Mathematics course Plus: 4 additional Grade 12 U/M courses Recommended: A second Grade 12 U Mathematics ICS3U ICS4U would be an asset
Health Sciences (Regular/Co-op) ,Social Sciences,University of Waterloo,Mid-80s (Regular system of study) High 80s (Co-op system of study),Co-op option available with this program,A final grade of at least 70% is required for: Any 4U English Any 4U Math SBI4U SCH4U Plus 2 additional 4U/M courses For Pre-clinical Professions Specialization: MHF4U ENG4U SPH4U are recommended.
Honours Arts and Business (Regular/Co-op) ,Social Sciences,University of Waterloo,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Honours Arts (Regular/Co-op) ,Social Sciences,University of Waterloo,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Knowledge Integration ,Social Sciences,University of Waterloo,Low 80s,Not Available,A final grade of at least 70% is required for: Any 4U English Any 4U Science Any 4U Mathematics Plus: 3 additional 4U/M courses
Mathematics (Regular/Co-op) ,Social Sciences,University of Waterloo,High 80s,Co-op option available with this program,Required courses: MHF4U MCV4U Any 4U English Plus: 1 other 4U course 2 additional 4U/M courses Recommended: ICS3U
Planning (Co-op Only) ,Social Sciences,University of Waterloo,Low 80s,Co-op program,Any Grade 12U English (a final grade of at least 75% is required) 5 additional Grade 12U/M courses Recommended: Grade 12U/M courses from Canadian and World Studies Mathematics and/or Science (preferably SBI4U or SES4U)
Public Health (Regular/Co-op) ,Social Sciences,University of Waterloo,Low 80s for regular system of study; mid-80s for co-op system of study,Co-op option available with this program,Any 4U Math (a final grade of at least 70% is required) Any 4U English (a final grade of at least 75% is required) 4 additional 4U/M courses
Sustainability and Financial Management (Co-op only) ,Social Sciences,University of Waterloo,Mid-80s,Co-op program,A minimum final grade of at least 75% is required for: MHF4U MCV4U Any Grade 12U English Plus: 3 additional Grade 12U/M courses Strongly recommended: BAT4M MDM4U A School of Accounting and Finance Admissions Assessment (SAFAA) online interview (part 1) and trait assessment (part 2) are required as part of the application process to Sustainability and Financial Management. Details are available on our website: https://uwaterloo.ca/aspiring-professionals/admission-requirements/safaa
Honours Arts (Renison University College) ,Social Sciences,University of Waterloo  -  Renison University College,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses MDM4U is recommended for the following subjects: Anthropology; Economics; Geography and Environmental Management; Political Science; Psychology; Sexuality Marriage & Family Studies; Social Development Studies; and Sociology. MCV4U is also recommended for Economics; however you may choose to take an introductory Calculus course in first year to acquire additional background.
Social Development Studies (Renison University College) ,Social Sciences,University of Waterloo  -  Renison University College,Low 80s,Co-op available by application after first year of studies,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses Recommended: MDM4U
Arts Honours (BA): St. Jerome’s University ,Social Sciences,University of Waterloo  -  St. Jerome's University,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Honours Arts and Business (Regular/Co-op) ,Social Sciences,University of Waterloo  -  St. Jerome's University,Low 80s,Co-op option available with this program,Any 4U English (a final grade of at least 70% is required) 5 additional 4U/M courses For Anthropology; Economics; Political Science; Psychology; Sexuality Marriage and Family Studies; Social Development Studies; or Sociology: Data Management or any 4U Mathematics is recommended but not required. For Economics: Calculus and Vectors is strongly recommended.
Arts and Humanities ,Social Sciences,Western University,Low 80s,Co-op or internship application available at the university after registration,English ENG4U
Health Science ,Social Sciences,Western University,High 80s to low 90s,Co-op or internship application available at the university after registration,English ENG4U Biology SBI4U One of: Advanced Functions MHF4U Calculus and Vectors MCV4U Math of Data Management MDM4U Chemistry SCH4U is recommended but not required Students considering the Honours Specialization in Health Sciences with Biology will need SCH4U to fulfill the first year Chemistry requirements of the module.
Management and Organizational Studies ,Social Sciences,Western University,Mid-80s,Co-op or internship application available at the university after registration,English ENG4U And two of: Advanced Functions MHF4U Calculus and Vectors MCV4U Math of Data Management MDM4U MCV4U and/or a university Calculus course is required prior to taking mandatory upper-year Economics courses in Finance for MOS and for pursuing a Major or Honors Specialization in Economics.
Science ,Social Sciences,Western University,Mid 80s,Co-op or internship application available at the university after registration,English ENG4U Calculus and Vectors MCV4U Two of : Advanced Functions MHF4U Biology SBI4U Math of Data Management MDM4U Chemistry SCH4U (not required for admission but required to take first-year Chemistry courses) Physics SPH4U Earth and Space Sciences SES4U Computer and Information Science ICS4U Note: First-year Biology and Chemistry courses require SBI4U and SCH4U respectively. First-year Biology and Chemistry courses are required for all modules offered by the Department of Biology and for some modules offered by the Department of Chemistry and other Science departments.
Social Science ,Social Sciences,Western University,Low to mid 80s,Co-op or internship application available at the university after registration,English ENG4U Notes: All Honours Specializations and Majors in Psychology require a first-year university Math course; therefore any Grade 12 U-level Math is highly recommended for this program. Math is helpful in preparation for Sociology and Geography programs. MFH4U and MCV4U are required for all Economics modules. SBI4U SCH4U and SPH4U are highly recommended for the BSc in Psychology. Psychology and Geography are offered as both a BA and a BSc. For the BSc option refer to the Academic Calendar for required high school science courses.
Social Science ,Social Sciences,Western University  -  Huron University College,Low to mid-80s,Practicum or internship option available,ENG4U Economics: MHF4U and MCV4U are recommended Psychology: MHF4U is highly recommended Global Studies: Language course is recommended
Finance and Wealth Management ,Social Sciences,Western University  -  King's University College,78-80%,Co-op option available with this program,ENG4U MCV4U (minimum grade of 60%)
Management and Organizational Studies ,Social Sciences,Western University  -  King's University College,78-80%,Practicum or internship option available,ENG4U Two of MHF4U MCV4U or MDM4U MCV4U is strongly recommended and will be required for certain modules in the program
Social Sciences ,Social Sciences,Western University  -  King's University College,78 - 80%,Class-based experiential education,ENG4U MHF4U and/or MCV4U are required for certain degree programs If you would like to major or specialize in Economics or Finance you must have MCV4U to be able to complete the first-year Math requirements. All specializations and majors in Psychology require a first-year university statistics course. MDM4U is a prerequisite for enrollment in the first-year statistics course; therefore students are strongly recommended to complete it prior to starting their first year. MDM4U is also helpful in preparation for the sociology program and Social Work.
Arts Degree (BA) + Business Administration (MBA) with Co-op ,Social Sciences,Wilfrid Laurier University,Low-90s,Co-op program,English at 70% You will need to maintain a minimum GPA of 10.0+ upon graduation from your undergraduate degree and earn a minimum A- in BU 205 (Introduction to Applied Statistics) in order to keep your offer to the MBA program active.
Arts Degree (BA) + Master’s Degree (MA or MAP) ,Social Sciences,Wilfrid Laurier University,Low-80s,Not Available,ENG4U at 60%
Arts Honours (BA) ,Social Sciences,Wilfrid Laurier University,Low 70s,Co-op or internship application available at the university after registration,One of ENG4U ETS4U EWC4U or EAE4U at 60%
Economics and Accounting (BA) ,Social Sciences,Wilfrid Laurier University,Mid 80s,Co-op or internship application available at the university after registration,English at 70% Advanced Functions at 70% One of Calculus and Vectors or Data Management at 60% Prerequisite courses are calculated in the admission average.
Economics and Data Analytics (BA) ,Social Sciences,Wilfrid Laurier University,Mid to high 80s,Co-op available by application after first year of studies,English at 70% Advanced Functions at 70% One of Calculus and Vectors or Data Management at 60% Prerequisite courses are calculated in the admission average.
Economics and Financial Management (BA) ,Social Sciences,Wilfrid Laurier University,Mid 80s,Co-op or internship application available at the university after registration,English at 70% Advanced Functions at 70% One of Calculus and Vectors or Data Management at 60% Prerequisite courses are calculated in the admission average.
Economics (BA) ,Social Sciences,Wilfrid Laurier University,Mid-80s,Co-op or internship application available at the university after registration,English at 70% Advanced Functions at 70% One of Calculus and Vectors or Data Management at 60% Prerequisite courses are calculated in the admission average.
Environmental Science (BSc) ,Social Sciences,Wilfrid Laurier University,Mid-70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 60% Biology at 70% Chemistry at 60% Prerequisite courses are calculated in the admission average.
Environmental Studies (BA) ,Social Sciences,Wilfrid Laurier University,Low 70s,Co-op or internship application available at the university after registration,English at 60%
Geography (BA) ,Social Sciences,Wilfrid Laurier University,Low 80s,Co-op program,Minimum admission range: low 70s Competitive admission range based on last year’s admitted students: low 80s English at 60%
Geography; Geography and Archaeology & Heritage Studies; Geography with Environmental Science option; Geography & Geomatics (BSc) ,Social Sciences,Wilfrid Laurier University,Low 70s,Co-op or internship application available at the university after registration,English at 60% Advanced Functions at 60% Two of Biology Chemistry or Physics each at 60% Prerequisite courses are calculated in the admission average.
Global Studies (BA) + International Development (MA) University of Sussex ,Social Sciences,Wilfrid Laurier University,Low 70s,Field placement,English at 60%
Law Degree (LLB at University of Sussex UK) and Arts Degree (BA at Laurier in English Political Science History or Philosophy) ,Social Sciences,Wilfrid Laurier University,Low 80s,Clinical placement,English at 70%
Law Degree (LLB at University of Sussex UK) and Science Degree (BSc Honours Science at Laurier) ,Social Sciences,Wilfrid Laurier University,Low 80s,Clinical placement,English at 70% Advanced Functions at 60% Biology at 60% Chemistry at 60% Prerequisite courses are included in your admission average
Policing (BA in combination) ,Social Sciences,Wilfrid Laurier University,Low 70s,Not Available,English at 60% Must also meet requirements for BA program in combination
Policing (Online) & Psychology (BA) ,Social Sciences,Wilfrid Laurier University,Low 70s,Co-op or internship application available at the university after registration,English at 60% One of 3M 3U or 4U Math at 60% English is calculated in the admission average.
Applied Health Sciences (BASc) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Class-based experiential education,English at 60% 4U Math at 60% Biology at 60% Chemistry at 60% Prerequisite courses are calculated in the admission average.
Criminology and Policing (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Class-based experiential education,English at 60%. English is calculated in the admission average.
Criminology (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Class-based experiential education,English at 60%
Health Management (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Field placement,English at 60%
Health Studies (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Practicum or internship option available,English at 60%
Human Rights (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Co-op or internship option available,English at 60%
Human Rights (BA) + International Development (MA) University of Sussex ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Field placement,English at 60%
Law Degree (LLB at University of Sussex UK) and Arts Degree (BA Criminology at Laurier) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 80s,Clinical placement,English at 70%
Law Degree (LLB at University of Sussex UK) and Arts Degree (BA in English; History; Human Rights; or Law & Society at Laurier) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 80s,Clinical placement,English at 70%
Law & Society (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Faculty research opportunity,English at 60%
Policing (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Class-based experiential education,English at 60% Must also meet requirements for BA program in combination
Policing (Online) & Psychology (BA) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,Low 70s,Class-based experiential education,English at 60% One of 3M 3U or 4U Math at 60% English is calculated in the admission average.
Social Work (BSW) ,Social Sciences,Wilfrid Laurier University  -  Brantford Campus,High 70s,Field placement,English at 60%
Business Administration ,Social Sciences,University of Windsor,73 to 85%,Co-op option available with this program,Business Options: Business Administration ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) is normally required Business Administration (Co-op) ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) is normally required Business Administration and Psychology Business Administration and Psychology (with Specialization in Human Resources Management and Industrial-Organizational Psychology) ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U Math course (or equivalent) normally required Business and Economics ENG4U and MHF4U; MCV4U is strongly recommended A minimum of 70% in at least one 4U Math course (or equivalent) normally required Business and Computer Science Business and Computer Science (Co-op) ENG4U and MHF4U; MCV4U is strongly recommended A minimum grade of 70% in at least one 4U Math course (or equivalent) normally required Business Administration and Mathematics Business Administration and Mathematics (with Specialization in Finance) Business Administration and Mathematics (with Specialization in Supply Chain and Business Analytics) ENG4U and MHF4U and MCV4U A minimum of 70% is required in the 4U Math courses Business Administration and Political Science Business Administration and Political Science (with Specialization in Human Resources) ENG4U and one 4U Mathematics course A minimum grade of 70% in at least one 4U Math course (or equivalent) is also normally required
Concurrent General BA (Political Science)/BEd ,Social Sciences,University of Windsor,75 - 88%,Practicum or internship option available,Admission is to first year only with a minimum of 75%. ENG4U
Criminology ,Social Sciences,University of Windsor,70 - 83%,Practicum or internship option available,ENG4U
Disability Studies ,Social Sciences,University of Windsor,70 - 87%,Practicum or internship option available,ENG4U
Economics ,Social Sciences,University of Windsor,70 to 85%,Co-op or internship option available,BA Economics ENG4U MHF4U is required for Honours Economics MCV4U and MDM4U are strongly recommended for Honours Economics BSc Economics ENG4U MHF4U MCV4U and MDM4U are strongly recommended Business and Economics ENG4U MHF4U MCV4U is strongly recommended At least one 12 U math course required at 70%
Environmental Engineering ,Social Sciences,University of Windsor,74-87%,Co-op option available with this program,ENG4U MHF4U SCH4U SPH4U MCV4U is strongly recommended
Environmental Science/Environmental Studies ,Social Sciences,University of Windsor,70 to 89%,Class-based experiential education,Environmental Studies ENG4U Environmental Science ENG4U MHF4U SCH4U SBI4U SPH4U is recommended MCV4U is strongly recommended
Family and Social Relations ,Social Sciences,University of Windsor,70-85%,Not Available,ENG4U
Forensic Science/Forensics ,Social Sciences,University of Windsor,70% to 85%,Practicum or internship option available,Bachelor of Forensic Science ENG4U MHF4U SBI4U SCH4U MCV4U recommended SPH4U strongly recommended Combined Bachelor of Arts in Forensics (Honours) ENG4U MHF4U SBI4U MCV4U strongly recommended
International Relations & Development Studies ,Social Sciences,University of Windsor,70 - 85%,Not Available,ENG4U
Political Science ,Social Sciences,University of Windsor,70-84% minimum,Co-op option available with this program,Political Science ENG4U Political Science with French Specialization ENG4U 4U French or equivalent Political Science with Law and Politics Specialization ENG4U If you are interested in a double major please choose a single major and contact admissions@uwindsor.ca to see if the new double major can be created for you. You will need to meet the admission requirements for both subjects of major interest.
Psychology ,Social Sciences,University of Windsor,70-84%,Co-op option available with this program,Psychology Developmental Psychology Child Psychology Disability Studies & Psychology ENG4U Business Administration and Psychology Business Administration and Psychology Specialization in Human Resources Management and Industrial Organizational Psychology ENG4U and one 4U Mathematics course A minimum of 70% in at least one 4U math course (or equivalent) normally required
Social Work ,Social Sciences,University of Windsor,70 - 84%,Practicum or internship option available,ENG4U
Sociology ,Social Sciences,University of Windsor,70-84% minimum,Not Available,ENG4U If you are interested in a double major please choose a single major and contact admissions@uwindsor.ca to see if the new double major can be created for you. You will need to meet the admission requirements for both subjects of major interest.
Women's and Gender Studies ,Social Sciences,University of Windsor,70-89% minimum,Not Available,ENG4U If you are interested in a double major please choose a single major and contact admissions@uwindsor.ca to see if the new double major can be created for you. You will need to meet the admission requirements for both subjects of major interest.
Anthropology (BA iBA) ,Social Sciences,York University,Mid-70s,Field placement,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses
Business Economics (BA) ,Social Sciences,York University,Mid-70s,Co-op or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U MHF4U Four additional 4U or 4M courses MCV4U recommended
